thematic;card;id;bearer;place;place_name;conditions;lockturn;weight;question;power;oxygen;people;hull;load;override_yes;answer_yes;yes;override_no;answer_no;no;thematic
briefing;first_card;1;computer;vr;HELM Boot|vr;;del;max;ORISON-9 online. SCENARIO S1: BIG BROTHER IS WATCHING. Candidate, I decide whether you are fit to rule.;;;;;power=50 and oxygen=50 and people=50 and hull=50 and length=0 and turns=0 and nb_growth=0 and nb_capacity=0 and nb_trust=0 and self_rule=0 and appealed=0 and water_secure=0 and water_command=0 and public_homes=0 and private_towers=0 and clean_service=0 and use_brokers=0 and national_service=0 and contractors=0 and foreign_investment=0 and state_industry=0 and labor_compact=0 and strike_crushed=0 and common_language=0 and universal_translation=0 and mixed_blocks=0 and separate_quarters=0 and free_port=0 and strategic_control=0 and reclaimed_ring=0 and protected_shore=0 and garden_city=0 and growth_first=0 and open_exams=0 and fast_track=0 and warrants=0 and total_watch=0 and institutions=0 and loyal_heir=0 and signal_success=0 and signal_failed=0 and network_stable=0 and network_failed=0 and open_network=0 and central_override=0 and mus_intro and eff_vr;I'M AWAKE;;>_briefing_world;WHO ARE YOU?;;>_briefing_world;1
briefing;_briefing_world;2;computer;planet;Earth - 3024|city;;del;max;Earth, 3024. Thirty billion people live in one planetary city. Central's AI counts every meal.;;;;;mus_dangerous;SHOW ME;;>_briefing_divide;THIRTY BILLION?;;>_briefing_divide;2
briefing;_briefing_divide;3;computer;defaut;Orbital Divide|galaxy;;del;max;Central's rulers live in orbital gardens. Below them, blackouts spread beneath their portraits.;;;;;eff_concertlight;AND BELOW?;;>_briefing_lionrise;WHO RULES?;;>_briefing_lionrise;3
briefing;_briefing_lionrise;4;computer;dungeon;Pressure Ward|dungeon;;del;max;Lionrise: two million people in pressure rooms. No army. No hinterland. One water contract.;;;;;mus_station;WHY LIONRISE?;;>_briefing_exam;THEY HAVE NOTHING?;;>_briefing_exam;4
briefing;_briefing_exam;5;computer;vrplanet;HELM Observation|city;;del;max;Twenty simulated years. Make Lionrise first-world. I record what you build, who pays, and what survives you.;;;;;eff_vr;BEGIN S1;;>_separation;WHAT DO YOU GRADE?;;>_separation;5
examination;_separation;6;computer;defaut;Central Withdrawal|space;;del;max;Central cuts Lionrise's water and patrols at midnight. Rule alone, or beg the authority abandoning us?;;;;;eff_alert and mus_dangerous;ACCEPT SELF-RULE;;self_rule and nb_capacity+1 and nb_trust+1 and power+2 and people+2 and hull-1 and >_separation_scene;APPEAL TO CENTRAL;;appealed and nb_growth+1 and oxygen+2 and hull+1 and power-1 and >_separation_scene;6
cinematic;_separation_scene;10;computer;planet;Night Earth|towers;self_rule;del;max;Central's seal vanishes. Its orbital portrait remains. Districts go dark. Lionrise stays lit. Barely.;;;;;eff_vr and mus_dangerous;WE RULE;;>_water;THEY WATCH;;>_water;10
cinematic;_separation_scene;11;computer;planet;Night Earth|ruins;;del;max;Your appeal is rejected mid-sentence. The portrait remains. Districts go dark. Lionrise stays lit. Barely.;;;;;eff_vr and mus_dangerous;NO APPEAL;;>_water;WE ARE ALONE;;>_water;11
water;_water;20;dose;planet;Dry Reservoir|desert;self_rule;del;max;The taps are dry. I can publish every ration and build recycling. Voss wants command of every valve.;;;;;mus_dangerous;BUILD WATER SECURITY;;water_secure and nb_growth+1 and nb_capacity+1 and nb_trust+1 and oxygen+3 and people+2 and power-2 and hull-1 and >_housing;COMMAND THE VALVES;;water_command and nb_capacity+2 and power+3 and oxygen+1 and people-2 and >_housing;20
water;_water;21;dose;planet;Dry Reservoir|desert;;del;max;Central rejected us in 0.4 seconds. I can build recycling. Voss wants command of every valve.;;;;;mus_dangerous;BUILD WATER SECURITY;;water_secure and nb_growth+1 and nb_capacity+1 and nb_trust+1 and oxygen+3 and people+2 and power-2 and hull-1 and >_housing;COMMAND THE VALVES;;water_command and nb_capacity+2 and power+3 and oxygen+1 and people-2 and >_housing;21
